"","rok","strata","linia"
"1",1989,30435.84,"Buss_Distr"
"2",1989,7306.14,"Buss_Distr"
"3",1989,14930.11,"Buss_Distr"
"4",1989,109375.61,"Buss_Distr"
"5",1989,46670.15,"Buss_Distr"
"6",1989,9692.63,"Buss_Distr"
"7",1989,24371.38,"Buss_Distr"
"8",1989,258016.51,"Buss_Distr"
"9",1989,17094.74,"Buss_Distr"
"10",1989,3374.49,"Buss_Distr"
"11",1989,10545.6,"Buss_Distr"
"12",1989,3379.57,"Buss_Distr"
"13",1989,13449.34,"Buss_Distr"
"14",1989,13735.77,"Buss_Distr"
"15",1990,4554.59,"Buss_Distr"
"16",1990,36827.15,"Buss_Distr"
"17",1990,121513.97,"Buss_Distr"
"18",1990,7642.01,"Buss_Distr"
"19",1990,1617.82,"Buss_Distr"
"20",1990,35482.8,"Buss_Distr"
"21",1990,2371.41,"Buss_Distr"
"22",1990,153854.83,"Buss_Distr"
"23",1990,84584.82,"Buss_Distr"
"24",1990,22586.08,"Buss_Distr"
"25",1990,54645.2,"Buss_Distr"
"26",1990,39609.48,"Buss_Distr"
"27",1990,19089.02,"Buss_Distr"
"28",1990,8204.91,"Buss_Distr"
"29",1990,81365.39,"Buss_Distr"
"30",1991,28251.88,"Buss_Distr"
"31",1991,10778.46,"Buss_Distr"
"32",1991,36634.34,"Buss_Distr"
"33",1991,2894.27,"Buss_Distr"
"34",1991,31523.77,"Buss_Distr"
"35",1991,65830,"Buss_Distr"
"36",1991,16917.9,"Buss_Distr"
"37",1991,308471.4,"Buss_Distr"
"38",1991,27926.52,"Buss_Distr"
"39",1991,1682.7,"Buss_Distr"
"40",1991,41145.62,"Buss_Distr"
"41",1991,26433.04,"Buss_Distr"
"42",1991,33051.56,"Buss_Distr"
"43",1991,10971.92,"Buss_Distr"
"44",1991,14321.93,"Buss_Distr"
"45",1992,7600.6,"Buss_Distr"
"46",1992,26843.8,"Buss_Distr"
"47",1992,227749.3,"Buss_Distr"
"48",1992,19497.41,"Buss_Distr"
"49",1992,760.72,"Buss_Distr"
"50",1992,21647.24,"Buss_Distr"
"51",1992,73446.64,"Buss_Distr"
"52",1992,43858.39,"Buss_Distr"
"53",1992,13783.4,"Buss_Distr"
"54",1992,64331.98,"Buss_Distr"
"55",1992,67507.33,"Buss_Distr"
"56",1992,3672.6,"Buss_Distr"
"57",1992,7822.33,"Buss_Distr"
"58",1992,52961.89,"Buss_Distr"
"59",1992,284151.2,"Buss_Distr"
"60",1992,23553.2,"Buss_Distr"
"61",1992,14826.46,"Buss_Distr"
"62",1993,76871.43,"Buss_Distr"
"63",1993,13762.91,"Buss_Distr"
"64",1993,36522.85,"Buss_Distr"
"65",1993,35573.29,"Buss_Distr"
"66",1993,7789.69,"Buss_Distr"
"67",1993,33326.3,"Buss_Distr"
"68",1993,41266.3,"Buss_Distr"
"69",1993,61043.91,"Buss_Distr"
"70",1993,50136.45,"Buss_Distr"
"71",1993,3691.21,"Buss_Distr"
"72",1993,15788.81,"Buss_Distr"
"73",1993,10194.36,"Buss_Distr"
"74",1993,8268.28,"Buss_Distr"
"75",1994,9511.65,"Buss_Distr"
"76",1994,15458.97,"Buss_Distr"
"77",1994,19693.81,"Buss_Distr"
"78",1994,29661.59,"Buss_Distr"
"79",1994,198242.77,"Buss_Distr"
"80",1994,55697.1,"Buss_Distr"
"81",1994,9145.27,"Buss_Distr"
"82",1994,117427.11,"Buss_Distr"
"83",1994,29609.27,"Buss_Distr"
"84",1994,7230.73,"Buss_Distr"
"85",1994,17460.48,"Buss_Distr"
"86",1994,29555.63,"Buss_Distr"
"87",1994,7618.87,"Buss_Distr"
"88",1994,16237.9,"Buss_Distr"
"89",1994,6082.21,"Buss_Distr"
"90",1994,61217.9,"Buss_Distr"
"91",1994,107903.59,"Buss_Distr"
"92",1995,24739.61,"Buss_Distr"
"93",1995,2866.15,"Buss_Distr"
"94",1995,82429.77,"Buss_Distr"
"95",1995,6088.25,"Buss_Distr"
"96",1995,63374.18,"Buss_Distr"
"97",1995,10157.63,"Buss_Distr"
"98",1995,7369.47,"Buss_Distr"
"99",1995,11121.55,"Buss_Distr"
"100",1995,837.01,"Buss_Distr"
"101",1996,63465.67,"Buss_Distr"
"102",1996,25924.92,"Buss_Distr"
"103",1996,2450.17,"Buss_Distr"
"104",1996,39346.32,"Buss_Distr"
"105",1996,43785.71,"Buss_Distr"
"106",1996,15521.18,"Buss_Distr"
"107",1996,11208.74,"Buss_Distr"
"108",1996,85164.36,"Buss_Distr"
"109",1996,33077.81,"Buss_Distr"
"110",1996,16544.44,"Buss_Distr"
"111",1996,61015.5,"Buss_Distr"
"112",1996,172764.5,"Buss_Distr"
"113",1997,25387.7,"Buss_Distr"
"114",1997,181631.21,"Buss_Distr"
